2013-05-10 03:13:15 status unpacked hostname:armhf 3.11
2013-05-10 03:13:15 install insserv:armhf <none> 1.14.0-5
2013-05-10 03:13:15 status half-installed insserv:armhf 1.14.0-5
2013-05-10 03:13:15 status unpacked insserv:armhf 1.14.0-5
2013-05-10 03:13:15 status unpacked insserv:armhf 1.14.0-5
2013-05-10 03:13:16 install liblocale-gettext-perl:armhf <none> 1.05-7+b3
2013-05-10 03:13:16 status half-installed liblocale-gettext-perl:armhf 1.05-7+b3
2013-05-10 03:13:16 status unpacked liblocale-gettext-perl:armhf 1.05-7+b3
2013-05-10 03:13:16 status unpacked liblocale-gettext-perl:armhf 1.05-7+b3
2013-05-10 03:13:16 install libselinux1:armhf <none> 2.1.9-5
2013-05-10 03:13:16 status half-installed libselinux1:armhf 2.1.9-5
2013-05-10 03:13:16 status unpacked libselinux1:armhf 2.1.9-5
2013-05-10 03:13:16 status unpacked libselinux1:armhf 2.1.9-5
2013-05-10 03:13:16 install libsemanage-common:all <none> 2.1.6-6
2013-05-10 03:13:16 status half-installed libsemanage-common:all 2.1.6-6
2013-05-10 03:13:16 status unpacked libsemanage-common:all 2.1.6-6
2013-05-10 03:13:16 status unpacked libsemanage-common:all 2.1.6-6
2013-05-10 03:13:17 install libsemanage1:armhf <none> 2.1.6-6
2013-05-10 03:13:17 status half-installed libsemanage1:armhf 2.1.6-6
2013-05-10 03:13:17 status unpacked libsemanage1:armhf 2.1.6-6
2013-05-10 03:13:17 status unpacked libsemanage1:armhf 2.1.6-6
2013-05-10 03:13:17 install libsepol1:armhf <none> 2.1.4-3
2013-05-10 03:13:17 status half-installed libsepol1:armhf 2.1.4-3
2013-05-10 03:13:17 status unpacked libsepol1:armhf 2.1.4-3
2013-05-10 03:13:17 status unpacked libsepol1:armhf 2.1.4-3
2013-05-10 03:13:17 install libtext-charwidth-perl:armhf <none> 0.04-7+b2
2013-05-10 03:13:17 status half-installed libtext-charwidth-perl:armhf 0.04-7+b2
2013-05-10 03:13:18 status unpacked libtext-charwidth-perl:armhf 0.04-7+b2
2013-05-10 03:13:18 status unpacked libtext-charwidth-perl:armhf 0.04-7+b2
2013-05-10 03:13:18 install libtext-iconv-perl:armhf <none> 1.7-5
2013-05-10 03:13:18 status half-installed libtext-iconv-perl:armhf 1.7-5
2013-05-10 03:13:18 status unpacked libtext-iconv-perl:armhf 1.7-5
2013-05-10 03:13:18 status unpacked libtext-iconv-perl:armhf 1.7-5
2013-05-10 03:13:18 install libtext-wrapi18n-perl:all <none> 0.06-7
2013-05-10 03:13:18 status half-installed libtext-wrapi18n-perl:all 0.06-7
2013-05-10 03:13:18 status unpacked libtext-wrapi18n-perl:all 0.06-7
2013-05-10 03:13:18 status unpacked libtext-wrapi18n-perl:all 0.06-7
2013-05-10 03:13:18 install lsb-base:all <none> 4.1+Debian8
2013-05-10 03:13:18 status half-installed lsb-base:all 4.1+Debian8
2013-05-10 03:13:19 status unpacked lsb-base:all 4.1+Debian8
2013-05-10 03:13:19 status unpacked lsb-base:all 4.1+Debian8
2013-05-10 03:13:19 upgrade mawk:armhf 1.3.3-17 1.3.3-17
2013-05-10 03:13:19 status half-configured mawk:armhf 1.3.3-17
2013-05-10 03:13:19 status unpacked mawk:armhf 1.3.3-17
2013-05-10 03:13:19 status half-installed mawk:armhf 1.3.3-17
2013-05-10 03:13:19 status half-installed mawk:armhf 1.3.3-17
2013-05-10 03:13:19 status unpacked mawk:armhf 1.3.3-17
2013-05-10 03:13:19 status unpacked mawk:armhf 1.3.3-17
2013-05-10 03:13:19 install libncurses5:armhf <none> 5.9-10
2013-05-10 03:13:19 status half-installed libncurses5:armhf 5.9-10
2013-05-10 03:13:19 status unpacked libncurses5:armhf 5.9-10
2013-05-10 03:13:19 status unpacked libncurses5:armhf 5.9-10
2013-05-10 03:13:20 install libtinfo5:armhf <none> 5.9-10
2013-05-10 03:13:20 status half-installed libtinfo5:armhf 5.9-10
2013-05-10 03:13:20 status unpacked libtinfo5:armhf 5.9-10
2013-05-10 03:13:20 status unpacked libtinfo5:armhf 5.9-10
2013-05-10 03:13:20 install ncurses-base:all <none> 5.9-10
2013-05-10 03:13:20 status half-installed ncurses-base:all 5.9-10
2013-05-10 03:13:20 status unpacked ncurses-base:all 5.9-10
2013-05-10 03:13:20 status unpacked ncurses-base:all 5.9-10
2013-05-10 03:13:20 install ncurses-bin:armhf <none> 5.9-10
2013-05-10 03:13:20 status half-installed ncurses-bin:armhf 5.9-10
2013-05-10 03:13:21 status unpacked ncurses-bin:armhf 5.9-10
2013-05-10 03:13:21 status unpacked ncurses-bin:armhf 5.9-10
2013-05-10 03:13:21 install libpam-modules:armhf <none> 1.1.3-7.1
2013-05-10 03:13:21 status half-installed libpam-modules:armhf 1.1.3-7.1
2013-05-10 03:13:29 status unpacked libpam-modules:armhf 1.1.3-7.1
2013-05-10 03:13:29 status unpacked libpam-modules:armhf 1.1.3-7.1
2013-05-10 03:13:30 install libpam-modules-bin:armhf <none> 1.1.3-7.1
2013-05-10 03:13:30 status half-installed libpam-modules-bin:armhf 1.1.3-7.1
2013-05-10 03:13:31 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2013-05-10 03:13:31 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2013-05-10 03:13:33 install libpam-runtime:all <none> 1.1.3-7.1
2013-05-10 03:13:33 status half-installed libpam-runtime:all 1.1.3-7.1
2013-05-10 03:13:34 status unpacked libpam-runtime:all 1.1.3-7.1
2013-05-10 03:13:34 status unpacked libpam-runtime:all 1.1.3-7.1
2013-05-10 03:13:36 install libpam0g:armhf <none> 1.1.3-7.1
2013-05-10 03:13:36 status half-installed libpam0g:armhf 1.1.3-7.1
2013-05-10 03:13:36 status unpacked libpam0g:armhf 1.1.3-7.1
2013-05-10 03:13:36 status unpacked libpam0g:armhf 1.1.3-7.1
2013-05-10 03:13:38 upgrade perl-base:armhf 5.14.2-21 5.14.2-21
2013-05-10 03:13:38 status half-configured perl-base:armhf 5.14.2-21
2013-05-10 03:13:38 status unpacked perl-base:armhf 5.14.2-21
2013-05-10 03:13:38 status half-installed perl-base:armhf 5.14.2-21
2013-05-10 03:13:40 status half-installed perl-base:armhf 5.14.2-21
2013-05-10 03:13:41 status unpacked perl-base:armhf 5.14.2-21
2013-05-10 03:13:41 status unpacked perl-base:armhf 5.14.2-21
2013-05-10 03:13:41 install sed:armhf <none> 4.2.1-10
2013-05-10 03:13:41 status half-installed sed:armhf 4.2.1-10
2013-05-10 03:13:41 status unpacked sed:armhf 4.2.1-10
2013-05-10 03:13:41 status unpacked sed:armhf 4.2.1-10
2013-05-10 03:13:41 install sensible-utils:all <none> 0.0.7
2013-05-10 03:13:41 status half-installed sensible-utils:all 0.0.7
2013-05-10 03:13:41 status unpacked sensible-utils:all 0.0.7
2013-05-10 03:13:41 status unpacked sensible-utils:all 0.0.7
2013-05-10 03:13:42 install login:armhf <none> 1:4.1.5.1-1
2013-05-10 03:13:42 status half-installed login:armhf 1:4.1.5.1-1
2013-05-10 03:13:42 status unpacked login:armhf 1:4.1.5.1-1
2013-05-10 03:13:42 status unpacked login:armhf 1:4.1.5.1-1
2013-05-10 03:13:42 install passwd:armhf <none> 1:4.1.5.1-1
2013-05-10 03:13:42 status half-installed passwd:armhf 1:4.1.5.1-1
2013-05-10 03:13:43 status unpacked passwd:armhf 1:4.1.5.1-1
2013-05-10 03:13:43 status unpacked passwd:armhf 1:4.1.5.1-1
2013-05-10 03:13:43 install libslang2:armhf <none> 2.2.4-15
2013-05-10 03:13:43 status half-installed libslang2:armhf 2.2.4-15
2013-05-10 03:13:43 status unpacked libslang2:armhf 2.2.4-15
2013-05-10 03:13:43 status unpacked libslang2:armhf 2.2.4-15
2013-05-10 03:13:43 install initscripts:armhf <none> 2.88dsf-41
2013-05-10 03:13:43 status half-installed initscripts:armhf 2.88dsf-41
2013-05-10 03:13:44 status unpacked initscripts:armhf 2.88dsf-41
2013-05-10 03:13:44 status unpacked initscripts:armhf 2.88dsf-41
2013-05-10 03:13:44 install sysv-rc:all <none> 2.88dsf-41
2013-05-10 03:13:44 status half-installed sysv-rc:all 2.88dsf-41
